ticker,company,year,Accounts Receivable,Inventory,Accounts Payable,Annual Sales,Annual COGS,Days of Accounts Receivable,Days of Inventory,Days of Accounts Payable,Cash Conversion Cycle
MMM,3M COMPANY,2016,4392000000.0,3385000000.0,1798000000.0,30109000000.0,15118000000.0,53.2425520608456,81.72542664373594,43.409842571768756,91.55813613281276
MMM,3M COMPANY,2017,4911000000.0,4034000000.0,1945000000.0,31657000000.0,16055000000.0,56.62302176453865,91.71037060105886,44.21831205232015,104.11508031327733
MMM,3M COMPANY,2018,5020000000.0,4366000000.0,2266000000.0,32765000000.0,16682000000.0,55.922478254234704,95.52751468648844,49.579786596331374,101.87020634439178
MMM,3M COMPANY,2019,4791000000.0,4134000000.0,2228000000.0,32136000000.0,17136000000.0,54.41607542942495,88.05497198879551,47.45681605975724,95.0142313584632
MMM,3M COMPANY,2020,4705000000.0,4239000000.0,2561000000.0,32184000000.0,16605000000.0,53.35958861546109,93.1788617886179,56.29418849744052,90.24426190663846
MMM,3M COMPANY,2021,4660000000.0,4985000000.0,2994000000.0,35355000000.0,18795000000.0,48.10917833404044,96.80899175312584,58.14365522745411,86.77451485971218
PG,PROCTER & GAMBLE CO,2016,4373000000.0,4716000000.0,9325000000.0,65299000000.0,32909000000.0,24.44363619657269,52.306056094077604,103.42535476617338,-26.675662475523083
PG,PROCTER & GAMBLE CO,2017,4594000000.0,4624000000.0,9632000000.0,65058000000.0,32535000000.0,25.774078514556244,51.875211310895956,108.05839864761028,-30.409108822158075
PG,PROCTER & GAMBLE CO,2018,4686000000.0,4738000000.0,10344000000.0,66832000000.0,34268000000.0,25.592380895379456,50.46603245009922,110.17742500291817,-34.1190116574395
PG,PROCTER & GAMBLE CO,2019,4951000000.0,5017000000.0,11260000000.0,67684000000.0,34768000000.0,26.699293776963536,52.66926484123332,118.20927289461574,-38.84071427641888
PG,PROCTER & GAMBLE CO,2020,4178000000.0,5498000000.0,12071000000.0,70950000000.0,35250000000.0,21.493587033121916,56.929645390070924,124.9904964539007,-46.56726403070786
PG,PROCTER & GAMBLE CO,2021,4725000000.0,5983000000.0,13720000000.0,76118000000.0,37108000000.0,22.657255839617434,58.84970895763716,134.95203190686647,-53.44506710961187
WMT,Walmart Inc.,2016,5624000000.0,44469000000.0,38487000000.0,478614000000.0,360984000000.0,4.288967727646914,44.96372415397913,38.91517352569643,10.33751835592961
WMT,Walmart Inc.,2017,5835000000.0,43046000000.0,41433000000.0,481317000000.0,361256000000.0,4.42489045680913,43.492121930154795,41.86240505348008,6.054607333483844
WMT,Walmart Inc.,2018,5614000000.0,43783000000.0,46092000000.0,495761000000.0,373396000000.0,4.1332617934851665,42.798516856099155,45.055597810367544,1.8761808392167794
WMT,Walmart Inc.,2019,6283000000.0,44269000000.0,47060000000.0,510329000000.0,385301000000.0,4.493757948303937,41.936524950623024,44.58047085265805,1.8498120462689087
WMT,Walmart Inc.,2020,6284000000.0,44435000000.0,46973000000.0,519926000000.0,394605000000.0,4.411512407534919,41.10129116458231,43.44887925900584,2.063924313111386
WMT,Walmart Inc.,2021,6516000000.0,44949000000.0,49141000000.0,555233000000.0,420315000000.0,4.283498999519121,39.03354626886978,42.67386364988163,0.6431816185072634
